Valid Epoch # 4200/20000 | Loss: 2.3227e-02 
Adam  Epoch # 4300/20000 | Loss: 8.8410e-02 =  <8.07e-03> <6.14e-03> <2.17e-03> <2.91e-02> <3.56e-04> <8.09e-04> <2.20e-03> <2.49e-02> <6.50e-04> <3.64e-03> <4.01e-03> <6.36e-03> 
Valid Epoch # 4300/20000 | Loss: 2.1907e-02 
Adam  Epoch # 4400/20000 | Loss: 8.4708e-02 =  <7.73e-03> <5.99e-03> <2.10e-03> <2.79e-02> <3.44e-04> <7.37e-04> <2.03e-03> <2.36e-02> <6.44e-04> <3.61e-03> <3.96e-03> <6.13e-03> 
Valid Epoch # 4400/20000 | Loss: 2.0547e-02 
Adam  Epoch # 4500/20000 | Loss: 8.0831e-02 =  <7.39e-03> <5.86e-03> <1.89e-03> <2.66e-02> <3.21e-04> <7.22e-04> <2.01e-03> <2.23e-02> <6.22e-04> <3.48e-03> <3.67e-03> <5.94e-03> 
Valid Epoch # 4500/20000 | Loss: 1.9358e-02 
Adam  Epoch # 4600/20000 | Loss: 7.7725e-02 =  <7.08e-03> <5.73e-03> <1.90e-03> <2.55e-02> <3.22e-04> <7.75e-04> <1.82e-03> <2.11e-02> <6.05e-04> <3.48e-03> <3.72e-03> <5.65e-03> 
Valid Epoch # 4600/20000 | Loss: 1.8099e-02 
Adam  Epoch # 4700/20000 | Loss: 7.3889e-02 =  <6.77e-03> <5.61e-03> <1.65e-03> <2.44e-02> <2.88e-04> <6.66e-04> <1.85e-03> <2.00e-02> <5.86e-04> <3.28e-03> <3.38e-03> <5.46e-03> 
Valid Epoch # 4700/20000 | Loss: 1.6951e-02 
Adam  Epoch # 4800/20000 | Loss: 7.6539e-02 =  <6.45e-03> <5.48e-03> <2.27e-03> <2.35e-02> <3.44e-04> <3.69e-03> <1.59e-03> <1.88e-02> <5.70e-04> <4.64e-03> <3.96e-03> <5.24e-03> 
Valid Epoch # 4800/20000 | Loss: 1.5340e-02 
Adam  Epoch # 4900/20000 | Loss: 6.7384e-02 =  <6.20e-03> <5.37e-03> <1.46e-03> <2.24e-02> <2.57e-04> <6.30e-04> <1.71e-03> <1.77e-02> <5.44e-04> <3.01e-03> <3.17e-03> <4.90e-03> 
Valid Epoch # 4900/20000 | Loss: 1.4580e-02 
Adam  Epoch # 5000/20000 | Loss: 6.4828e-02 =  <5.92e-03> <5.26e-03> <1.33e-03> <2.15e-02> <2.25e-04> <1.17e-03> <1.79e-03> <1.66e-02> <5.21e-04> <3.02e-03> <2.93e-03> <4.58e-03> 
Valid Epoch # 5000/20000 | Loss: 1.3439e-02 
Adam  Epoch # 5100/20000 | Loss: 6.0992e-02 =  <5.66e-03> <5.14e-03> <1.31e-03> <2.07e-02> <2.25e-04> <6.11e-04> <1.58e-03> <1.55e-02> <4.98e-04> <2.64e-03> <3.09e-03> <4.10e-03> 
Valid Epoch # 5100/20000 | Loss: 1.2086e-02 
Adam  Epoch # 5200/20000 | Loss: 5.7730e-02 =  <5.44e-03> <5.03e-03> <1.23e-03> <1.97e-02> <2.10e-04> <6.27e-04> <1.54e-03> <1.44e-02> <4.75e-04> <2.41e-03> <3.11e-03> <3.61e-03> 
Valid Epoch # 5200/20000 | Loss: 1.0827e-02 
